application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
AnalyticsDashboard,setuptools,5.13.9,2025-01-18,539,17.7,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,babel-core,5.15.3,2024-07-09,732,24.0,2.0,Outdated,High,Prioritize an upgrade or identify a supported replacement.
AnalyticsDashboard,node-fetch,2.8.7,2026-04-11,91,3.0,0.25,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,morgan,5.10.6,2023-05-08,1160,38.1,3.18,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
AnalyticsDashboard,multer,5.0.4,2026-02-21,140,4.6,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,mongoose,1.3.9,2024-11-27,591,19.4,1.62,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,nodemon,2.15.2,2026-01-31,161,5.3,0.44,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,eslint,1.8.1,2025-11-28,225,7.4,0.62,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,next,4.15.4,2025-04-20,447,14.7,1.22,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,cors,5.12.7,2025-11-15,238,7.8,0.65,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,knex,1.0.1,2025-08-31,314,10.3,0.86,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,chalk,1.0.9,2026-02-04,157,5.2,0.43,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,vue,1.5.4,2025-03-11,487,16.0,1.33,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,react,4.12.5,2025-10-17,267,8.8,0.73,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,typescript,4.8.1,2025-10-23,261,8.6,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,puppeteer,1.12.4,2025-10-16,268,8.8,0.73,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,inquirer,1.12.7,2025-07-16,360,11.8,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,passport,1.11.8,2026-03-26,107,3.5,0.29,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,apollo-server,5.1.6,2025-06-03,403,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,react-dom,5.7.7,2025-09-04,310,10.2,0.85,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,angular-core,5.4.9,2025-09-26,288,9.5,0.79,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,jest,5.2.1,2025-08-11,334,11.0,0.91,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,hibernate-validator,5.4.5,2024-08-04,706,23.2,1.93,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,spring-boot-starter,2.11.8,2023-07-18,1089,35.8,2.98,Outdated,High,Prioritize an upgrade or identify a supported replacement.
AnalyticsDashboard,yargs,1.0.0,2025-10-01,283,9.3,0.77,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,postgresql-jdbc,4.6.3,2025-10-25,259,8.5,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,micrometer-core,1.10.4,2024-09-29,650,21.4,1.78,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,helmet,1.9.5,2026-03-04,129,4.2,0.35,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,protobuf-java,2.4.0,2025-09-29,285,9.4,0.78,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,prettier,4.2.2,2025-01-01,556,18.3,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,axios,4.0.1,2020-02-29,2324,76.4,6.36,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
AnalyticsDashboard,graphql,1.3.7,2025-04-30,437,14.4,1.2,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,bull,3.3.1,2025-01-12,545,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,sharp,1.6.2,2024-10-18,631,20.7,1.73,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,express,3.4.3,2020-10-06,2104,69.1,5.76,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
AnalyticsDashboard,echo,4.6.2,2026-03-16,117,3.8,0.32,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,testify,2.9.8,2025-01-08,549,18.0,1.5,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,webpack,4.4.0,2025-08-19,326,10.7,0.89,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,dayjs,2.9.0,2025-10-30,254,8.3,0.7,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,mysql-connector-java,1.6.8,2025-09-07,307,10.1,0.84,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,zap,4.6.3,2024-08-04,706,23.2,1.93,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,protobuf-go,4.9.7,2024-08-07,703,23.1,1.92,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,sarama,4.2.1,2021-07-19,1818,59.7,4.98,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,pyjwt,2.0.4,2025-08-29,316,10.4,0.87,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,moment,3.15.9,2024-10-14,635,20.9,1.74,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,testify,2.11.4,2024-12-04,584,19.2,1.6,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,crypto-go,5.1.10,2025-11-29,224,7.4,0.61,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,python-dateutil,2.14.5,2025-03-30,468,15.4,1.28,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,mux,4.10.1,2020-02-20,2333,76.6,6.39,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,logrus,5.6.9,2023-01-07,1281,42.1,3.51,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,gorm,5.1.10,2024-06-13,758,24.9,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
MobileBackend,go-jwt,5.2.3,2024-11-15,603,19.8,1.65,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,aws-sdk-go,1.12.1,2025-07-30,346,11.4,0.95,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,viper,2.6.2,2026-01-21,171,5.6,0.47,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,resty,1.4.4,2025-03-22,476,15.6,1.3,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,gson,4.2.9,2025-10-01,283,9.3,0.77,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,spring-core,2.1.4,2025-11-25,228,7.5,0.62,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,yaml-go,1.5.8,2025-06-07,399,13.1,1.09,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,fiber,1.4.8,2020-11-12,2067,67.9,5.66,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,gin,5.3.6,2025-04-16,451,14.8,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,json-iterator,3.5.4,2024-10-24,625,20.5,1.71,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,numpy,4.3.1,2024-07-14,727,23.9,1.99,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,golangci-lint,5.1.7,2020-07-16,2186,71.8,5.99,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,pgx,1.2.2,2025-10-26,258,8.5,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,aiohttp,2.9.2,2025-10-30,254,8.3,0.7,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,go-redis,4.6.8,2025-11-15,238,7.8,0.65,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,bcrypt-go,3.1.1,2025-08-29,316,10.4,0.87,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,fasthttp,2.2.7,2024-09-16,663,21.8,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,chi,2.2.5,2022-05-19,1514,49.7,4.15,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,uuid-go,5.12.7,2025-10-23,261,8.6,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,nats,1.3.0,2025-05-01,436,14.3,1.19,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,yargs,1.2.10,2025-10-23,261,8.6,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,tomcat-embed-core,1.1.6,2025-09-14,300,9.9,0.82,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,colly,2.9.2,2026-01-04,188,6.2,0.51,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,sqlx,2.1.6,2025-03-19,479,15.7,1.31,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,react-dom,3.6.1,2026-04-09,93,3.1,0.25,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,paramiko,3.9.1,2020-12-13,2036,66.9,5.57,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,cors,1.7.6,2022-08-19,1422,46.7,3.89,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,nats,1.5.6,2024-09-11,668,21.9,1.83,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,commons-lang3,2.5.7,2021-09-05,1770,58.2,4.85,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,jedis,2.7.1,2025-04-01,466,15.3,1.28,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,go-jwt,4.12.3,2024-09-06,673,22.1,1.84,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,inquirer,3.1.8,2021-09-10,1765,58.0,4.83,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
MobileBackend,logback-classic,4.10.8,2025-09-08,306,10.1,0.84,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,uvicorn,2.0.8,2025-09-22,292,9.6,0.8,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,bouncycastle-bcprov,3.10.8,2026-03-04,129,4.2,0.35,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,coverage,3.7.2,2025-08-20,325,10.7,0.89,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,pyjwt,4.5.1,2026-03-24,109,3.6,0.3,Actively Maintained,Low,Continue monitoring releases and security advisories.
MobileBackend,uuid,4.3.1,2025-04-14,453,14.9,1.24,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
MobileBackend,mapstruct,4.7.8,2025-03-07,491,16.1,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,pillow,4.7.4,2025-04-12,455,14.9,1.25,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,viper,5.1.10,2025-12-18,205,6.7,0.56,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,boto3,5.7.7,2025-01-28,529,17.4,1.45,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,logback-classic,2.14.10,2020-06-13,2219,72.9,6.08,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,mypy,3.2.5,2024-06-29,742,24.4,2.03,Outdated,High,Prioritize an upgrade or identify a supported replacement.
DevToolkit,certifi,3.2.1,2024-10-12,637,20.9,1.74,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,twisted,3.9.3,2026-01-06,186,6.1,0.51,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,markupsafe,1.7.1,2023-06-19,1118,36.7,3.06,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,requests,1.13.7,2025-02-28,498,16.4,1.36,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,scikit-learn,4.6.9,2025-07-24,352,11.6,0.96,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,python-dateutil,4.2.0,2025-06-28,378,12.4,1.03,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,werkzeug,2.15.5,2024-07-17,724,23.8,1.98,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,spring-core,3.12.10,2024-11-21,597,19.6,1.63,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,redis-py,1.10.8,2025-03-15,483,15.9,1.32,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,wheel,4.5.5,2026-04-05,97,3.2,0.27,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,safety,1.7.2,2022-10-10,1370,45.0,3.75,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,paramiko,3.15.7,2024-12-26,562,18.5,1.54,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,helmet,4.2.3,2024-10-03,646,21.2,1.77,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,pandas,1.2.7,2024-06-06,765,25.1,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
DevToolkit,pyjwt,5.4.3,2020-05-24,2239,73.6,6.13,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,urllib3,4.2.0,2026-04-01,101,3.3,0.28,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,cryptography,3.4.5,2025-07-03,373,12.3,1.02,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,psycopg2,3.5.6,2026-03-26,107,3.5,0.29,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,bandit,5.2.4,2020-09-18,2122,69.7,5.81,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,matplotlib,5.2.0,2026-01-04,188,6.2,0.51,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,rich,2.5.6,2025-09-09,305,10.0,0.84,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,cobra,5.8.10,2023-09-05,1040,34.2,2.85,Outdated,High,Prioritize an upgrade or identify a supported replacement.
DevToolkit,ansible-core,4.9.9,2025-04-06,461,15.1,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,pip,1.0.3,2026-03-04,129,4.2,0.35,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,snakeyaml,2.14.7,2025-07-07,369,12.1,1.01,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,six,4.15.9,2025-11-08,245,8.0,0.67,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,redis,4.10.8,2023-06-29,1108,36.4,3.03,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,celery,5.7.9,2025-09-23,291,9.6,0.8,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,setuptools,4.11.7,2024-08-28,682,22.4,1.87,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,coverage,1.13.7,2025-02-23,503,16.5,1.38,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,charset-normalizer,1.5.6,2025-02-20,506,16.6,1.39,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,pytest,3.12.0,2025-11-10,243,8.0,0.67,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,numpy,1.11.0,2024-09-22,657,21.6,1.8,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,botocore,1.8.0,2025-06-06,400,13.1,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,scipy,2.11.4,2024-09-10,669,22.0,1.83,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,httpx,3.2.1,2024-06-07,764,25.1,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
DevToolkit,bouncycastle-bcprov,3.4.8,2025-06-05,401,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,aiohttp,2.2.8,2025-07-25,351,11.5,0.96,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,gunicorn,3.0.7,2024-08-11,699,23.0,1.91,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,click,4.12.2,2026-03-19,114,3.7,0.31,Actively Maintained,Low,Continue monitoring releases and security advisories.
DevToolkit,pydantic,3.6.6,2025-04-18,449,14.8,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,uvicorn,1.4.8,2024-12-28,560,18.4,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,pyyaml,4.11.5,2025-04-05,462,15.2,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
DevToolkit,black,3.6.2,2023-02-04,1253,41.2,3.43,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
DevToolkit,jinja2,2.0.0,2025-04-08,459,15.1,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,aws-sdk-s3,4.14.7,2023-12-27,927,30.5,2.54,Outdated,High,Prioritize an upgrade or identify a supported replacement.
ComplianceEngine,mockito-core,5.11.1,2025-11-18,235,7.7,0.64,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,guava,3.9.7,2023-04-22,1176,38.6,3.22,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,mysql-connector-java,2.15.0,2025-04-14,453,14.9,1.24,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,tomcat-embed-core,5.4.2,2024-01-30,893,29.3,2.44,Outdated,High,Prioritize an upgrade or identify a supported replacement.
ComplianceEngine,lettuce-core,4.10.8,2024-11-17,601,19.7,1.65,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,jedis,1.6.9,2025-10-01,283,9.3,0.77,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,postgresql-jdbc,3.6.3,2026-02-12,149,4.9,0.41,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,spring-security-core,4.0.8,2025-03-20,478,15.7,1.31,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,mocha,2.9.6,2020-04-29,2264,74.4,6.2,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,commons-collections4,1.10.2,2024-07-24,717,23.6,1.96,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,commander,5.7.7,2022-08-09,1432,47.0,3.92,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,boto3,1.8.8,2024-10-07,642,21.1,1.76,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,logback-classic,3.5.3,2022-08-09,1432,47.0,3.92,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,hibernate-core,3.6.9,2025-04-04,463,15.2,1.27,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,bouncycastle-bcprov,2.8.6,2026-03-13,120,3.9,0.33,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,log4j-api,4.8.3,2024-10-15,634,20.8,1.74,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,h2-database,4.15.6,2026-04-19,83,2.7,0.23,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,spring-boot-starter,3.12.2,2024-12-15,573,18.8,1.57,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,netty-handler,3.6.1,2025-10-19,265,8.7,0.73,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,commons-codec,1.4.1,2025-03-08,490,16.1,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,spring-web,1.8.10,2026-03-28,105,3.4,0.29,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,junit-jupiter,3.13.6,2024-07-15,726,23.9,1.99,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,grpc-core,4.6.5,2025-08-08,337,11.1,0.92,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,commons-io,4.0.9,2021-05-03,1895,62.3,5.19,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,graphql,1.12.5,2025-08-27,318,10.4,0.87,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,jackson-databind,4.2.1,2026-02-23,138,4.5,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,micrometer-core,3.0.7,2024-08-09,701,23.0,1.92,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,slf4j-api,3.11.6,2024-08-01,709,23.3,1.94,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,commons-lang3,5.13.8,2024-10-29,620,20.4,1.7,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,pgx,5.4.0,2024-12-18,570,18.7,1.56,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,kafka-clients,3.9.6,2024-06-04,767,25.2,2.1,Outdated,High,Prioritize an upgrade or identify a supported replacement.
ComplianceEngine,hibernate-validator,2.7.7,2025-07-15,361,11.9,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,jackson-annotations,3.0.1,2026-01-21,171,5.6,0.47,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,logback-core,1.5.4,2025-06-24,382,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,axios,3.12.5,2025-08-19,326,10.7,0.89,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,setuptools,1.1.2,2022-02-13,1609,52.9,4.41,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,httpclient,3.9.6,2026-01-23,169,5.6,0.46,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,resilience4j,2.8.4,2025-03-14,484,15.9,1.33,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,jetty-server,2.8.7,2026-02-20,141,4.6,0.39,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,opentelemetry-api,1.2.8,2025-10-24,260,8.5,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,numpy,3.11.5,2026-01-17,175,5.7,0.48,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,caffeine,1.3.3,2025-04-10,457,15.0,1.25,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,httpcore,2.5.4,2025-11-14,239,7.9,0.65,Actively Maintained,Low,Continue monitoring releases and security advisories.
ComplianceEngine,gson,1.7.8,2025-06-12,394,12.9,1.08,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,mapstruct,4.5.4,2024-08-17,693,22.8,1.9,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,log4j-core,3.1.4,2021-07-20,1817,59.7,4.97,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
ComplianceEngine,aws-sdk-sqs,2.1.1,2025-05-04,433,14.2,1.19,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,disruptor,2.11.2,2025-02-23,503,16.5,1.38,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
ComplianceEngine,netty-all,3.5.6,2025-09-27,287,9.4,0.79,Actively Maintained,Low,Continue monitoring releases and security advisories.
NotificationService,react-dom,1.10.9,2023-02-06,1251,41.1,3.43,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
NotificationService,yaml-go,5.15.0,2025-03-26,472,15.5,1.29,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,jest,3.13.6,2025-07-04,372,12.2,1.02,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,cryptography,3.6.0,2025-11-21,232,7.6,0.64,Actively Maintained,Low,Continue monitoring releases and security advisories.
NotificationService,redis,5.1.1,2025-04-01,466,15.3,1.28,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,next,2.13.7,2024-07-15,726,23.9,1.99,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,ansible-core,2.8.10,2025-01-09,548,18.0,1.5,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,sharp,1.14.0,2025-07-14,362,11.9,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
NotificationService,axios,4.14.1,2021-07-25,1812,59.5,4.96,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
NotificationService,winston,2.2.10,2024-07-06,735,24.1,2.01,Outdated,High,Prioritize an upgrade or identify a supported replacement.
NotificationService,babel-core,5.0.0,2024-12-22,566,18.6,1.55,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,chalk,3.6.10,2026-04-12,90,3.0,0.25,Actively Maintained,Low,Continue monitoring releases and security advisories.
NotificationService,twisted,5.3.5,2025-08-13,332,10.9,0.91,Actively Maintained,Low,Continue monitoring releases and security advisories.
NotificationService,nanoid,2.3.5,2024-06-13,758,24.9,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
NotificationService,inquirer,5.11.0,2024-09-13,666,21.9,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,mocha,3.5.10,2025-05-10,427,14.0,1.17,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,vue,5.14.6,2025-01-25,532,17.5,1.46,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
NotificationService,puppeteer,1.9.3,2022-10-18,1362,44.7,3.73,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
