application,dependency_id,library,version,vulnerability_score,license_score,maintenance_score,dependency_depth_score,final_risk_score,final_risk_level,explanation
HRMS,APP003_T15,Axios,1.0.0,37.0,100.0,100.0,50.0,66.65,High,Highest matched CVSS is 3.7; vulnerability severity score is 37.0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T16,SLF4J,2.14.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T17,Commons IO,1.5.0,66.0,0.0,40.0,50.0,42.7,Medium,Highest matched CVSS is 6.6; vulnerability severity score is 66.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T18,SnakeYAML,3.0.0,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T19,Tomcat,2.17.1,44.0,100.0,40.0,50.0,57.8,High,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T20,Guava,1.5.0,97.0,100.0,40.0,50.0,81.65,Critical,Highest matched CVSS is 9.7; vulnerability severity score is 97.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T21,BouncyCastle,1.0.0,90.0,0.0,40.0,50.0,53.5,High,Highest matched CVSS is 9.0; vulnerability severity score is 90.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T22,Log4j,2.17.1,0.0,0.0,100.0,50.0,25.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T23,SLF4J,1.0.0,85.0,100.0,40.0,50.0,76.25,Critical,Highest matched CVSS is 8.5; vulnerability severity score is 85.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T24,Tomcat,3.0.0,57.0,100.0,40.0,50.0,63.65,High,Highest matched CVSS is 5.7; vulnerability severity score is 57.0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T25,Commons IO,1.5.0,66.0,0.0,40.0,50.0,42.7,Medium,Highest matched CVSS is 6.6; vulnerability severity score is 66.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T26,Gson,2.14.1,90.0,100.0,40.0,50.0,78.5,Critical,Highest matched CVSS is 9.0; vulnerability severity score is 90.0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T27,BouncyCastle,3.0.0,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T28,OpenSSL,2.17.1,84.0,75.0,40.0,50.0,69.55,High,Highest matched CVSS is 8.4; vulnerability severity score is 84.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T29,OkHttp,3.0.0,0.0,0.0,100.0,50.0,25.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T30,SnakeYAML,3.2.1,0.0,75.0,40.0,50.0,31.75,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T31,Log4j,2.0.0,72.0,100.0,40.0,50.0,70.4,High,Highest matched CVSS is 7.2; vulnerability severity score is 72.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T32,Axios,2.0.0,62.0,100.0,40.0,50.0,65.9,High,Highest matched CVSS is 6.2; vulnerability severity score is 62.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T33,Log4j,3.0.0,70.0,100.0,40.0,50.0,69.5,High,Highest matched CVSS is 7.0; vulnerability severity score is 70.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T34,SLF4J,2.14.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T35,Commons IO,1.5.0,66.0,0.0,40.0,50.0,42.7,Medium,Highest matched CVSS is 6.6; vulnerability severity score is 66.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T36,Commons IO,2.0.0,97.0,75.0,100.0,50.0,87.4,Critical,Highest matched CVSS is 9.7; vulnerability severity score is 97.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T37,BouncyCastle,2.17.1,69.0,0.0,40.0,50.0,44.05,Medium,Highest matched CVSS is 6.9; vulnerability severity score is 69.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T38,Guava,1.0.0,45.0,100.0,40.0,50.0,58.25,High,Highest matched CVSS is 4.5; vulnerability severity score is 45.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T39,Log4j,1.5.0,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
HRMS,APP003_T40,Jetty,1.5.0,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_D01,Spring Boot,3.2.1,49.0,0.0,0.0,25.0,24.55,Low,Highest matched CVSS is 4.9; vulnerability severity score is 49.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D02,React,3.0.0,78.0,100.0,0.0,25.0,62.6,High,Highest matched CVSS is 7.8; vulnerability severity score is 78.0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D03,Express,1.0.0,33.0,0.0,0.0,25.0,17.35,Low,Highest matched CVSS is 3.3; vulnerability severity score is 33.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D04,FastAPI,1.0.0,87.0,100.0,0.0,25.0,66.65,High,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D05,Kafka Client,3.2.1,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D06,PostgreSQL JDBC,3.2.1,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D07,MySQL Connector,2.0.0,73.0,0.0,0.0,25.0,35.35,Medium,Highest matched CVSS is 7.3; vulnerability severity score is 73.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D08,Redis Client,2.0.0,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D09,Netty,1.0.0,73.0,0.0,0.0,25.0,35.35,Medium,Highest matched CVSS is 7.3; vulnerability severity score is 73.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_D10,Hibernate,1.5.0,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Inventory Service,APP004_T01,JUnit5,2.17.1,91.0,0.0,100.0,50.0,65.95,High,Highest matched CVSS is 9.1; vulnerability severity score is 91.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T02,BouncyCastle,1.0.0,90.0,100.0,40.0,50.0,78.5,Critical,Highest matched CVSS is 9.0; vulnerability severity score is 90.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T03,Jetty,3.2.1,61.0,0.0,40.0,50.0,40.45,Medium,Highest matched CVSS is 6.1; vulnerability severity score is 61.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T04,Tomcat,2.17.1,44.0,100.0,40.0,50.0,57.8,High,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T05,OkHttp,3.2.1,48.0,100.0,40.0,50.0,59.6,High,Highest matched CVSS is 4.8; vulnerability severity score is 48.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T06,Jackson,1.0.0,87.0,100.0,40.0,50.0,77.15,Critical,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T07,Axios,3.0.0,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T08,Guava,1.5.0,97.0,0.0,100.0,50.0,68.65,High,Highest matched CVSS is 9.7; vulnerability severity score is 97.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T09,Guava,2.0.0,30.0,0.0,40.0,50.0,26.5,Medium,Highest matched CVSS is 3.0; vulnerability severity score is 30.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T10,Jackson,1.5.0,87.0,100.0,40.0,50.0,77.15,Critical,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T11,Jackson,2.17.1,58.0,0.0,40.0,50.0,39.1,Medium,Highest matched CVSS is 5.8; vulnerability severity score is 58.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T12,Lodash,1.5.0,72.0,100.0,100.0,50.0,82.4,Critical,Highest matched CVSS is 7.2; vulnerability severity score is 72.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T13,Jackson,3.2.1,53.0,0.0,40.0,50.0,36.85,Medium,Highest matched CVSS is 5.3; vulnerability severity score is 53.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T14,Gson,3.0.0,96.0,100.0,40.0,50.0,81.2,Critical,Highest matched CVSS is 9.6; vulnerability severity score is 96.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T15,Commons IO,2.17.1,0.0,100.0,100.0,50.0,50.0,High,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T16,SnakeYAML,1.5.0,71.0,0.0,40.0,50.0,44.95,Medium,Highest matched CVSS is 7.1; vulnerability severity score is 71.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T17,OkHttp,2.14.1,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T18,Tomcat,1.0.0,95.0,100.0,40.0,50.0,80.75,Critical,Highest matched CVSS is 9.5; vulnerability severity score is 95.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T19,SnakeYAML,3.2.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T20,Lodash,2.17.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T21,Lodash,2.17.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T22,Lodash,1.5.0,72.0,100.0,100.0,50.0,82.4,Critical,Highest matched CVSS is 7.2; vulnerability severity score is 72.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T23,OpenSSL,2.0.0,41.0,100.0,40.0,50.0,56.45,High,Highest matched CVSS is 4.1; vulnerability severity score is 41.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T24,Log4j,3.0.0,70.0,100.0,40.0,50.0,69.5,High,Highest matched CVSS is 7.0; vulnerability severity score is 70.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T25,Gson,1.0.0,44.0,100.0,40.0,50.0,57.8,High,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T26,OpenSSL,2.17.1,84.0,75.0,40.0,50.0,69.55,High,Highest matched CVSS is 8.4; vulnerability severity score is 84.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T27,Guava,2.14.1,63.0,0.0,40.0,50.0,41.35,Medium,Highest matched CVSS is 6.3; vulnerability severity score is 63.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T28,Jackson,3.2.1,53.0,0.0,40.0,50.0,36.85,Medium,Highest matched CVSS is 5.3; vulnerability severity score is 53.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T29,OkHttp,2.0.0,61.0,100.0,100.0,50.0,77.45,Critical,Highest matched CVSS is 6.1; vulnerability severity score is 61.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T30,SLF4J,2.14.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T31,Gson,1.5.0,78.0,100.0,40.0,50.0,73.1,High,Highest matched CVSS is 7.8; vulnerability severity score is 78.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T32,Gson,1.5.0,78.0,100.0,40.0,50.0,73.1,High,Highest matched CVSS is 7.8; vulnerability severity score is 78.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T33,SnakeYAML,3.2.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T34,Gson,2.17.1,0.0,75.0,40.0,50.0,31.75,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T35,Guava,2.14.1,63.0,0.0,40.0,50.0,41.35,Medium,Highest matched CVSS is 6.3; vulnerability severity score is 63.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T36,Commons IO,1.5.0,66.0,0.0,100.0,50.0,54.7,High,Highest matched CVSS is 6.6; vulnerability severity score is 66.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T37,Jackson,2.17.1,58.0,0.0,40.0,50.0,39.1,Medium,Highest matched CVSS is 5.8; vulnerability severity score is 58.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T38,Lodash,3.2.1,49.0,75.0,40.0,50.0,53.8,High,Highest matched CVSS is 4.9; vulnerability severity score is 49.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T39,Gson,1.0.0,44.0,100.0,40.0,50.0,57.8,High,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Inventory Service,APP004_T40,Axios,2.0.0,62.0,0.0,40.0,50.0,40.9,Medium,Highest matched CVSS is 6.2; vulnerability severity score is 62.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Finance API,APP005_D01,Spring Boot,2.17.1,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D02,React,1.5.0,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D03,Express,2.0.0,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D04,FastAPI,2.17.1,78.0,0.0,0.0,25.0,37.6,Medium,Highest matched CVSS is 7.8; vulnerability severity score is 78.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D05,Kafka Client,1.0.0,92.0,0.0,0.0,25.0,43.9,Medium,Highest matched CVSS is 9.2; vulnerability severity score is 92.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D06,PostgreSQL JDBC,2.14.1,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D07,MySQL Connector,3.2.1,89.0,0.0,0.0,25.0,42.55,Medium,Highest matched CVSS is 8.9; vulnerability severity score is 89.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D08,Redis Client,3.2.1,57.0,0.0,0.0,25.0,28.15,Medium,Highest matched CVSS is 5.7; vulnerability severity score is 57.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D09,Netty,1.5.0,50.0,100.0,0.0,25.0,50.0,High,Highest matched CVSS is 5.0; vulnerability severity score is 50.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_D10,Hibernate,1.5.0,0.0,75.0,0.0,25.0,21.25,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Finance API,APP005_T01,Jackson,2.14.1,43.0,100.0,40.0,50.0,57.35,High,Highest matched CVSS is 4.3; vulnerability severity score is 43.0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Finance API,APP005_T02,Jackson,2.17.1,58.0,75.0,40.0,50.0,57.85,High,Highest matched CVSS is 5.8; vulnerability severity score is 58.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
