application,library,version,license,compatibility_status,severity,reason,recommendation
HRPortal,aiohttp,2.12.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,pandas,5.4.7,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,cryptography,2.14.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,pydantic,4.11.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,caffeine,2.4.2,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,markupsafe,2.0.9,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRPortal,typescript,4.13.7,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,hibernate-validator,1.4.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,botocore,1.13.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,safety,1.2.7,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,flask,4.7.2,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,pillow,1.0.7,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,rich,4.0.5,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,charset-normalizer,3.4.1,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,requests,3.6.0,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,bcrypt,1.10.2,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,click,1.8.4,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,hibernate-core,3.12.5,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,celery,2.9.6,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,psycopg2,3.6.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,six,2.8.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,scikit-learn,4.8.2,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,setuptools,2.12.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,uvicorn,4.6.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,matplotlib,1.5.7,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,moment,1.14.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,formidable,5.8.5,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,cheerio,3.15.7,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,bcrypt,1.9.8,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,mocha,4.10.8,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,nanoid,3.12.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,winston,1.4.10,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,sequelize,3.2.9,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
AnalyticsDashboard,commander,2.13.9,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,dotenv,4.4.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,setuptools,5.13.9,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,babel-core,5.15.3,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,node-fetch,2.8.7,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,morgan,5.10.6,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,multer,5.0.4,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,mongoose,1.3.9,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,nodemon,2.15.2,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,eslint,1.8.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,next,4.15.4,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,cors,5.12.7,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,knex,1.0.1,GPL-2.0,Incompatible,CRITICAL,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
AnalyticsDashboard,chalk,1.0.9,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,vue,1.5.4,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,react,4.12.5,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,typescript,4.8.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,puppeteer,1.12.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,inquirer,1.12.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,passport,1.11.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,apollo-server,5.1.6,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,react-dom,5.7.7,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,angular-core,5.4.9,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,jest,5.2.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,hibernate-validator,5.4.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,spring-boot-starter,2.11.8,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,yargs,1.0.0,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,postgresql-jdbc,4.6.3,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,micrometer-core,1.10.4,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
AnalyticsDashboard,helmet,1.9.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,protobuf-java,2.4.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,prettier,4.2.2,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,axios,4.0.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,graphql,1.3.7,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,bull,3.3.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,sharp,1.6.2,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,express,3.4.3,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,echo,4.6.2,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,testify,2.9.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,webpack,4.4.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,dayjs,2.9.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
AnalyticsDashboard,mysql-connector-java,1.6.8,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,zap,4.6.3,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,protobuf-go,4.9.7,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,sarama,4.2.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,pyjwt,2.0.4,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,moment,3.15.9,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,testify,2.11.4,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,crypto-go,5.1.10,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,python-dateutil,2.14.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,mux,4.10.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,logrus,5.6.9,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,gorm,5.1.10,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,go-jwt,5.2.3,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,aws-sdk-go,1.12.1,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
MobileBackend,viper,2.6.2,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,resty,1.4.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,gson,4.2.9,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,spring-core,2.1.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,yaml-go,1.5.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,fiber,1.4.8,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,gin,5.3.6,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,json-iterator,3.5.4,GPL-2.0,Incompatible,CRITICAL,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
MobileBackend,numpy,4.3.1,GPL-3.0,Incompatible,CRITICAL,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
MobileBackend,golangci-lint,5.1.7,LGPL-3.0,Compatible,Low,LGPL-3.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,pgx,1.2.2,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,aiohttp,2.9.2,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,go-redis,4.6.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,bcrypt-go,3.1.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,fasthttp,2.2.7,LGPL-3.0,Compatible,Low,LGPL-3.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,chi,2.2.5,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,uuid-go,5.12.7,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,nats,1.3.0,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,yargs,1.2.10,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,tomcat-embed-core,1.1.6,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,colly,2.9.2,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,sqlx,2.1.6,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,react-dom,3.6.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,paramiko,3.9.1,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,cors,1.7.6,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,nats,1.5.6,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,commons-lang3,2.5.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,jedis,2.7.1,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,go-jwt,4.12.3,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,inquirer,3.1.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,logback-classic,4.10.8,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,uvicorn,2.0.8,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,bouncycastle-bcprov,3.10.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,coverage,3.7.2,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,pyjwt,4.5.1,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
MobileBackend,uuid,4.3.1,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
MobileBackend,mapstruct,4.7.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pillow,4.7.4,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,viper,5.1.10,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,boto3,5.7.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,logback-classic,2.14.10,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,mypy,3.2.5,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,certifi,3.2.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,twisted,3.9.3,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,markupsafe,1.7.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,requests,1.13.7,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,scikit-learn,4.6.9,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,python-dateutil,4.2.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,werkzeug,2.15.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,spring-core,3.12.10,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,redis-py,1.10.8,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,wheel,4.5.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,safety,1.7.2,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,paramiko,3.15.7,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,helmet,4.2.3,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pandas,1.2.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pyjwt,5.4.3,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,urllib3,4.2.0,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,cryptography,3.4.5,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,psycopg2,3.5.6,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,bandit,5.2.4,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,matplotlib,5.2.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,rich,2.5.6,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,cobra,5.8.10,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,ansible-core,4.9.9,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pip,1.0.3,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,snakeyaml,2.14.7,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,six,4.15.9,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,redis,4.10.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,celery,5.7.9,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,setuptools,4.11.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,coverage,1.13.7,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,charset-normalizer,1.5.6,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pytest,3.12.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,numpy,1.11.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,botocore,1.8.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,scipy,2.11.4,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,httpx,3.2.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,bouncycastle-bcprov,3.4.8,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,aiohttp,2.2.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,gunicorn,3.0.7,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
DevToolkit,click,4.12.2,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pydantic,3.6.6,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,uvicorn,1.4.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,pyyaml,4.11.5,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,black,3.6.2,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
DevToolkit,jinja2,2.0.0,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
